pid,dt,url,title,price,neighb,sqft,lat,lng,accuracy,body_text,furnished,laundry_known,laundry_onpremises,laundry_inunit,room_known,private_room,bath_known,private_bath,parking_known,onsite_parking
6063828377,2017-03-30 11:19,http://losangeles.craigslist.org/lac/roo/6063828377.html,"$850 /month Affordable, comfortable and safe roomshare",,,0,34.073700,-118.372000,22,"*** This is for ROOMSHARE ***

We offer co-living/co-working spaces for aspiring actors, singers and dancers in the heart of the entertainment capital of the world - Our West Hollywood location is close to many acting schools and audition offices. 

Our locations are fully furnished, bedding and towels included, fully stocked kitchen, utilities included, super fast internet, clean environment.

Our guests are young and smart startup founders, actors, singers, dancers :) 
Easy access to:
- 2 min to Beverly Center shopping mall
- 5 min to the bars and restaurants
- 7 min to the night clubs
- 12 min to Beverly Hills
- 15 min to Hollywood Walk of Fame
- 25 min to Santa Monica/Downtown/Universal City
Free and fast Wifi
Free laundry  on site
Co-working zone

House Rules
No smoking. Not suitable for pets. No parties or events. Not child-friendly (0-12 years)

www.aviato.club",False,TRUE,FALSE,True,True,FALSE,True,FALSE,TRUE,FALSE
6039647132,2017-03-30 11:19,http://losangeles.craigslist.org/wst/roo/6039647132.html,"FULLY FURNISHED FEMALE SHARED ROOM,UTILITIES INCLUDED NEAR UCLA,KAPLAN",1075,WESTWOOD,0,34.063700,-118.440800,22,"Perfectly situated in a very cosmopolitan neighborhood, This building is the ideal place to call home! 

Our convenient location puts you within walking distance of everything in UCLA, Kaplan, Westwood Village, 

Fully furnished and all utilities are includes (cable+TV, WiFi, gas, water, electricity). 

WITH PAID UTILITIES: 
✚ Access to Public Transportation 
✚ Beautiful Landscaping 
✚ Cable Ready 
✚ Dedicated Available 
✚ Easy Access to Freeways 
✚ Easy Access to Shopping 
✚ Elevator 
✚ Family Owned Building 
✚ Garage 
✚ Rooftop Spa 
✚ Rooftop Sundeck w/ Solar Heated Pool 
✚ Fitness Center 
✚ Spa 

Apartment Amenities 
✚ Air Conditioning 
✚ Cable Ready 
✚ Carpeted/Hardwood Floors 
✚ Central Air/Heating 
✚ Cozy Gas Fireplace 
✚ Disability Access 
✚ Dishwasher 
✚ Extra Storage

FOR MORE INFORMATION GIVE US A CALL!!!

Monday thru Friday (Pacific Time)
From 9:30 am to 6:00 pm 
 
 
 

Saturday 11:00 am to 4:00 pm
Closed on Sunday",True,TRUE,TRUE,False,True,FALSE,True,FALSE,TRUE,TRUE
6048635884,2017-03-30 11:19,http://losangeles.craigslist.org/sgv/roo/6048635884.html,*RELAXN/RESORT STYLE COOL HOME**POOL/SPA**CeNTRaL Heat/AC**WiFi*,695, ALL UTILITIES INCLUDED)))(((( SEE PIX )))EL MONTE,0,99,99,99,"AMENITIES: 

*      PARKING SPOT
*      ROOM FOR RENT IN COOL HOUSE
*      FRESH PAINT 
*      STOVE FIREPLACE
* 	SAFE NICE AREA
*      WALK IN CLOSET
*	COOL ATMOSPHERE
* 	HARDWOOD FLOORING 
*	CENTRAL AIR CONDITIONING/HEATING 
* 	WORK OUT AREA (WEIGHT SET)
*	 NEW FRIDGE, DISH WASHER,STOVE 
*	 LAUNDRY-ROOM W-WASHER/DRYER 
*	PRIVATE BACK YARD WITH POOL (full privileges)

*	UTILITIES INCLUDED: 
Electric, Gas, Water, Trash, Central Air/Heating, washer/Dryer,High Speed Wireless Internet



*	 WALKING DISTANCE TO BUS AND MAIN METRO STATIONS

*	15 MIN CAL STATE LA AND RIO HONDO COLLEGE
*	20 MIN FROM  LA, PASADENA, CAL-POLY, MT. SAC, CALTECH AND PCC
*	IN THE BEST, BEAUTIFUL AND SAFE HIDDEN AREA OF CITY OF EL MONTE

*	CENTRAL AIR/HEAT, PRIVATE BACK YARD WITH POOL/SPA, WIFI, AND ALL UTILITIES ARE INCLUDED!!!

ABOUT US: 
- Down to Earth
- Late 20's and Early 30's
- Professionals with good jobs
- Non-smokers (No Heavy Drugs) 
- No huge parties (Occasional friends for dinner/Movie) 
- Active
- CLEAN 
- Quiet, Considerate
- We always pay our bills on time* 
-  GERRY             (6two6) six0two-five9fivenine

ABOUT YOU:
- Non-smoker (outside smoking ok) 
- No Heavy drugs 
- Always pays rent on time* (A MUST) 
- Quiet (A MUST)
- Considerate
- CLEAN! CLEAN, CLEAN (A MUST)
- NO PETS
- NO DRAMA
- ONE PERSON ONLY
- PLS CALL * NO EMAILS
-  GERRY             (six2six) six02-five9five9",False,TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6040954369,2017-03-30 11:18,http://losangeles.craigslist.org/lac/roo/6040954369.html,Shared rooms bunk beds,420,Hollywood / Los Angeles,0,34.068516,-118.284259,7,"Shared rooms are available for students, recent graduates and working professionals.
- 15 min to metro red line Vermont / Beverly or Wilshire / Vermont
- Super friendly environment. That's a great place to gain connections. 
- Ideal for LACC (Los Angeles City College ), LAFS ( Los Angeles Film School ), Musician Institute, FIDM.
- Free Wi-Fi interent.
- Hang out area.
- Bunk beds with mattresses.
- Lockers for valuables.
- Place to park your bike.
- Car parking is available on the street only.
- Males only.

Rent: 420 per month (All utilities and internet are included in rent ). 

We welcome all nationalities.
Email us back information about yourself and leave a phone number.


Best,
Gabe.",False,TRUE,FALSE,True,True,FALSE,True,FALSE,TRUE,FALSE
6056737992,2017-03-30 11:18,http://losangeles.craigslist.org/wst/roo/6056737992.html,FEMALE SHARED/FULLY FURNISHED/NEAR UCLA/UTILITIES INCLUDED!!!!,1075,Westwood,0,34.063700,-118.440800,22,"Perfectly situated in a very cosmopolitan neighborhood, this building is the ideal place to call home! Our convenient location puts you within walking distance of everything in UCLA, Kaplan, and Westwood Village. This charming apartment comes fully furnished with all utilities included in the rent. That means; cable+TV, WiFi, gas, water, and electricity. Cable and WiFi are already set up and ready for you to use, hassle free! There are a large variety of restaurants, shops, movie theaters, cleaners and more just within walking distance of this apartment. This unit is also a perfect off campus housing option for UCLA students. All roommates are local or international students and young working professionals. Don't worry, they're all clean and tidy! 

Call and make an appointment with us today to see just how perfect this apartment is!!!

WITH PAID UTILITIES: 
✚ Access to Public Transportation 
✚ Beautiful Landscaping 
✚ Cable Ready 
✚ Dedicated Available 
✚ Easy Access to Freeways 
✚ Easy Access to Shopping 
✚ Elevator 
✚ Family Owned Building 
✚ Garage 
✚ Rooftop Spa 
✚ Rooftop Sundeck w/ Solar Heated Pool 
✚ Fitness Center 
✚ Spa 

Apartment Amenities 
✚ Air Conditioning 
✚ Cable Ready 
✚ Carpeted/Hardwood Floors 
✚ Central Air/Heating 
✚ Cozy Gas Fireplace 
✚ Disability Access 
✚ Dishwasher 
✚ Extra Storage

FOR MORE INFORMATION GIVE US A CALL!!!

Monday thru Friday (Pacific Time)
From 9:30AM - 6:00PM
Saturday 11:00AM - 4:00PM
Closed on Sunday",True,TRUE,TRUE,False,True,FALSE,True,FALSE,TRUE,TRUE
6066868880,2017-03-30 11:18,http://losangeles.craigslist.org/sfv/roo/6066868880.html,Living room for rent $600,,Van nuys,0,34.180200,-118.432400,22,"Hello, I'm a 30 year old single mom. I have a 5 year old son and we have 3 cats, so if you don't like kids or animals this place isn't for you! 

About us-
We are very friendly and caring-i work all day and my son goes to school, so we are gone during the week from 7:15-6pm. 

We have a spacious 1 bedroom in van nuys. Looking to rent out the living room, It currently has no furniture in it save for a tv and tv stand. There is closet space for your clothes and things. 

Looking for someone who likes kids and animals, will pay the rent on time, and someone who's not a wild partier. 
$600 per month",False,FALSE,FALSE,False,True,FALSE,True,FALSE,FALSE,FALSE
6062410482,2017-03-30 11:16,http://losangeles.craigslist.org/lac/roo/6062410482.html,SHARED HOUSING FOR MEN ONLY- CALL TODAY FOR MOVE IN SPECIAL,500,Los Angeles,0,33.924229,-118.235162,10,"Shared Housing for MEN

All newly remodeled property - all inclusive!

Stocked Kitchen, Large Flat Screen TV, Free WiFi, AND house computer!

This is a clean living facility for men trying to get back on their feet, or those looking for less costly living in LA.

Bus line runs in front of the house, market, coin laundry, you name it, all in easy walking distance.

check out our website www. uncledaveshousing.com

Shared rooms - $500 per month

SSI/SSDI, Students, Retirees, Pilot/Grow all are welcome at Uncle Dave's!

Call 
 
to come see our unique living!",True,FALSE,FALSE,False,True,FALSE,True,FALSE,TRUE,FALSE
6048746475,2017-03-30 11:16,http://losangeles.craigslist.org/lac/roo/6048746475.html,USC STUDENT HOUSING ******AFFORDABLE LIVING FOR ME IN LOS ANGELES,550,South Los Angeles,0,33.984075,-118.284381,10,"$550.00 A MONTH AND INCLUDES UTILITIES/CABLE 

We make living easy for you. Just bring your clothes, toothbrush & a good attitude. 

You can come and go as you wish. This is independent living. We offer a quiet, safe and hassle free place to live whether you are trying to get back on your feet or just need a place to call home. 

CALL 
 

Website http://uncledaveshousing.com/",True,TRUE,TRUE,False,True,FALSE,True,FALSE,TRUE,FALSE
6066857248,2017-03-30 11:16,http://losangeles.craigslist.org/lac/roo/6066857248.html,Girls Spot Open April! Artist Housing/Low Deposit/Maid/All Included!,600,Los Angeles,5000,34.048570,-118.276405,7,"Safe & Affordable Alternative Shared Living Solution

Everything Included:

- Maid Service Included! 
- Fully Furnished!
- Personal Lockable Cabinet!
- All Utilities Included!
- High Speed WIFI Internet & Cable Included!
- Month to Month!
- Central A/C Throughout the House!
- Keyless Entry & Security Cameras!
- No Credit Check!
- Laundry on Site!
- Bus Stop Steps Away!
- Beautiful Views of Downtown LA!
-Wonderful and Talented People!

We provide a peaceful, relaxed atmosphere at a very affordable price for artists, students, & professionals to study and focus on their craft. We also promote a creative & educational environment where people can grow productively & network. We understand the high cost of living in Los Angeles & we provide a lower cost solution. 

This is a place to make lasting friendships, connections with other artists & professionals, build your portfolio, or save until you are able to find the right place. Rooms are separated by gender and are shared with one or more like minded individuals who are focused on furthering their carrier or craft. This is Not A Party or Frat House. 

The property is located in West Lake, a safe, quiet and youthful, hip, up and coming Downtown Los Angeles neighborhood. Its close to Restaurants, Shops, Public Transit, Schools, Food Trucks, Local Farmers Markets. All rooms have Breathtaking Views of Beautiful Downtown Los Angeles. Just blocks from the Microsoft Theater, Staples Center, LA Live, US Bank Tower, and everything Downtown LA has to offer. 

To move in you will need the following:

Mention This Low Deposit Ad
- $30 Background Check Fee
- $300 Refundable Deposit & $600 1st Month = Total $930 To Move In!

*Please Reply with your Name, Phone Number, & Social Media Link as a Character Reference. Our Leasing Department will contact you. Thank you.",True,TRUE,TRUE,False,True,FALSE,True,FALSE,TRUE,FALSE
6066862075,2017-03-30 11:14,http://losangeles.craigslist.org/wst/roo/6066862075.html,Live in a house on the Venice Canals  🌊🌴,1800,Venice,0,33.984920,-118.466494,15,"We have a room on the main first floor available in our beautiful 3-floor, 5 bedroom HOUSE (not an apartment!) shared with 4 other people. We are two ladies and two guys, all laid-back young professionals. Our house is very social! We have parties in the summer including the highlight, the canal boat races ⛱🚣🏽🚣🏼‍♀️ We have a main deck with a BBQ which literally overlooks the canals, a garden, and a roof deck with a glorious view. We've got a kayak and canoe, space to store your 🚲 and surfboard conveniently.🏄🏻🏄🏽‍♀️
Our community is the most beautiful, unique, and tranquil in this city. Not uncommon to be surrounded by ducks, hummingbirds, and other wildlife 🐿🦄.

We are only a few blocks from the beach as well as walking distance to James Beach, Canal Club, Zinque, all the shops and restaurants on Abbott Kinney, and more. There's a farmer's market on the corner. 

Other features of the house:
Living room: We have a new TV with an Amazon fire stick-- tons of movies, tv shows, and a fireplace. 
Kitchen: The main floor has a kitchen which is on the other side of the wall from the room. 
Down the hall from the room is another room where an awesome man and jerky/tech aficionado resides with his sweet dog, Sandy (NO ADDITIONAL PETS, PLEASE!).

Your room: 
Your bathroom is private (except for during those parties when all bathrooms are up for use) bathroom is detached from the bedroom but a 1 second walk out your door across the hall and it has a tub/shower, plus plenty of storage.
The room is HUGE, with space for a king bed, dresser, couch, and more. One wall has a long window and the other has a built-in closet, plus drawers and cabinet crannies. TONS of storage. 
Wood laminate floors
Locking door
Two main entrances on same floor (canal, side of house)

Utilities: ~$100/mo DWP, Gas, Wi-fi, House supplies, housecleaning
Laundry in building -- yay for no coin laundry!
Housecleaning: comes once a month and includes the bathroom you'd use.
Security deposit: $2k
Move-in: As early as April 1, but by May 1
Lease: 1 year preferred; verbal month to month

Best of luck in your search ☮️💟
Text or email if you're interested!",False,TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,FALSE
